"Var1","Var2","value"
"pH_Grab","log(NH4-N (mg/L))",-0.4
"log(Turbidity (NTU))","log(NH4-N (mg/L))",-0.2
"log(TSS (mg/L))","log(NH4-N (mg/L))",0.632455532033676
"log(BOD (mg/L))","log(NH4-N (mg/L))",1
"log(cBOD (mg/L))","log(NH4-N (mg/L))",0.948683298050514
"log(sCOD (mg/L))","log(NH4-N (mg/L))",0.8
"log(COD (mg/L))","log(NH4-N (mg/L))",0.8
"log(NH4-N (mg/L))","log(NH4-N (mg/L))",1
"log(NOx-N (mg/L))","log(NH4-N (mg/L))",-1
"log(PO4-P (mg/L))","log(NH4-N (mg/L))",-0.8
"log(TP (mg/L))","log(NH4-N (mg/L))",-0.6
"log(TOC (mg/L))","log(NH4-N (mg/L))",1
"log(TN (mg/L))","log(NH4-N (mg/L))",1
"log(Grab Flow (MLD))","log(NH4-N (mg/L))",-0.4
"log(Grab Temp (C))","log(NH4-N (mg/L))",-0.316227766016838
"log(Filtered UVT_Grab (%))","log(NH4-N (mg/L))",-0.8
"log(E-coli (MPN/mL))","log(NH4-N (mg/L))",0.948683298050514
"log(Fecal (MPN/mL))","log(NH4-N (mg/L))",0.4
"Cumulative 3-day pre-sampling-day precip (mm)","log(NH4-N (mg/L))",-0.774596669241483
"log(Mean temp (K))","log(NH4-N (mg/L))",-1
"Adeno_logGCpermLsample","log(NOx-N (mg/L))",-0.410241841233154
"CrAss_logGCpermLsample","log(NOx-N (mg/L))",0.237508434398142
"PMMV_logGCpermLsample","log(NOx-N (mg/L))",0.777300330757555
"uidA_logGCpermLsample","log(NOx-N (mg/L))",0.323875137815648
"log(Raw Flow (MLD))","log(NOx-N (mg/L))",1
"log(TS (mg/L))","log(NOx-N (mg/L))",1
"pH_Grab","log(NOx-N (mg/L))",0.4
"log(Turbidity (NTU))","log(NOx-N (mg/L))",0.2
"log(TSS (mg/L))","log(NOx-N (mg/L))",-0.632455532033676
"log(BOD (mg/L))","log(NOx-N (mg/L))",-1
"log(cBOD (mg/L))","log(NOx-N (mg/L))",-0.948683298050514
"log(sCOD (mg/L))","log(NOx-N (mg/L))",-0.8
"log(COD (mg/L))","log(NOx-N (mg/L))",-0.8
"log(NH4-N (mg/L))","log(NOx-N (mg/L))",-1
"log(NOx-N (mg/L))","log(NOx-N (mg/L))",1
"log(PO4-P (mg/L))","log(NOx-N (mg/L))",0.8
"log(TP (mg/L))","log(NOx-N (mg/L))",0.6
"log(TOC (mg/L))","log(NOx-N (mg/L))",-1
"log(TN (mg/L))","log(NOx-N (mg/L))",-1
"log(Grab Flow (MLD))","log(NOx-N (mg/L))",0.4
"log(Grab Temp (C))","log(NOx-N (mg/L))",0.316227766016838
"log(Filtered UVT_Grab (%))","log(NOx-N (mg/L))",0.8
"log(E-coli (MPN/mL))","log(NOx-N (mg/L))",-0.948683298050514
"log(Fecal (MPN/mL))","log(NOx-N (mg/L))",-0.4
"Cumulative 3-day pre-sampling-day precip (mm)","log(NOx-N (mg/L))",0.774596669241483
"log(Mean temp (K))","log(NOx-N (mg/L))",1
"Adeno_logGCpermLsample","log(PO4-P (mg/L))",-0.690933627340049
"CrAss_logGCpermLsample","log(PO4-P (mg/L))",0.475016868796284
"PMMV_logGCpermLsample","log(PO4-P (mg/L))",0.582975248068166
"uidA_logGCpermLsample","log(PO4-P (mg/L))",0.259100110252518
"log(Raw Flow (MLD))","log(PO4-P (mg/L))",0.8
"log(TS (mg/L))","log(PO4-P (mg/L))",0.8
"pH_Grab","log(PO4-P (mg/L))",0
"log(Turbidity (NTU))","log(PO4-P (mg/L))",-0.4
"log(TSS (mg/L))","log(PO4-P (mg/L))",-0.948683298050514
"log(BOD (mg/L))","log(PO4-P (mg/L))",-0.8
"log(cBOD (mg/L))","log(PO4-P (mg/L))",-0.737864787372622
"log(sCOD (mg/L))","log(PO4-P (mg/L))",-0.6
"log(COD (mg/L))","log(PO4-P (mg/L))",-0.6
"log(NH4-N (mg/L))","log(PO4-P (mg/L))",-0.8
"log(NOx-N (mg/L))","log(PO4-P (mg/L))",0.8
"log(PO4-P (mg/L))","log(PO4-P (mg/L))",1
"log(TP (mg/L))","log(PO4-P (mg/L))",0.8
"log(TOC (mg/L))","log(PO4-P (mg/L))",-0.8
"log(TN (mg/L))","log(PO4-P (mg/L))",-0.8
"log(Grab Flow (MLD))","log(PO4-P (mg/L))",-0.2
"log(Grab Temp (C))","log(PO4-P (mg/L))",0.632455532033676
"log(Filtered UVT_Grab (%))","log(PO4-P (mg/L))",0.6
"log(E-coli (MPN/mL))","log(PO4-P (mg/L))",-0.948683298050514
"log(Fecal (MPN/mL))","log(PO4-P (mg/L))",-0.8
"Cumulative 3-day pre-sampling-day precip (mm)","log(PO4-P (mg/L))",0.258198889747161
"log(Mean temp (K))","log(PO4-P (mg/L))",0.8
"Adeno_logGCpermLsample","log(TP (mg/L))",-0.280691786106895
