"Longitude (x)","Latitude (y)","Station Name","Climate ID","Date/Time","Year","Month","Day","Data Quality","Max Temp (°C)","Max Temp Flag","Min Temp (°C)","Min Temp Flag","Mean Temp (°C)","Mean Temp Flag","Heat Deg Days (°C)","Heat Deg Days Flag","Cool Deg Days (°C)","Cool Deg Days Flag","Total Rain (mm)","Total Rain Flag","Total Snow (cm)","Total Snow Flag","Total Precip (mm)","Total Precip Flag","Snow on Grnd (cm)","Snow on Grnd Flag","Dir of Max Gust (10s deg)","Dir of Max Gust Flag","Spd of Max Gust (km/h)","Spd of Max Gust Flag"
"-97.13","49.89","WINNIPEG THE FORKS","5023262","2019-03-29","2019","03","29","","4.2","","-5.1","","-0.5","","18.5","","0.0","","","","","","0.5","","","","36","","50",""
"-97.13","49.89","WINNIPEG THE FORKS","5023262","2019-03-30","2019","03","30","","1.4","","-6.7","","-2.7","","20.7","","0.0","","","","","","0.0","","","","","","",""
"-97.13","49.89","WINNIPEG THE FORKS","5023262","2019-03-31","2019","03","31","","3.8","","-5.1","","-0.7","","18.7","","0.0","","","","","","0.0","","","","","","",""
"-97.13","49.89","WINNIPEG THE FORKS","5023262","2019-04-01","2019","04","01","","7.1","","-1.3","","2.9","","15.1","","0.0","","","","","","0.0","","","","","","",""
"-97.13","49.89","WINNIPEG THE FORKS","5023262","2019-04-02","2019","04","02","","2.7","","-3.7","","-0.5","","18.5","","0.0","","","","","","2.3","","","","30","","40",""
"-97.13","49.89","WINNIPEG THE FORKS","5023262","2019-04-03","2019","04","03","","0.6","","-4.8","","-2.1","","20.1","","0.0","","","","","","0.0","","","","30","","31",""
"-97.13","49.89","WINNIPEG THE FORKS","5023262","2019-04-04","2019","04","04","","2.8","","-3.2","","-0.2","","18.2","","0.0","","","","","","2.6","","","","22","","35",""
"-97.13","49.89","WINNIPEG THE FORKS","5023262","2019-04-05","2019","04","05","","2.6","","-3.2","","-0.3","","18.3","","0.0","","","","","","0.0","","","","","","",""
"-97.13","49.89","WINNIPEG THE FORKS","5023262","2019-04-06","2019","04","06","","9.0","","-4.7","","2.1","","15.9","","0.0","","","","","","1.0","","","","","","",""
"-97.13","49.89","WINNIPEG THE FORKS","5023262","2019-04-07","2019","04","07","","8.1","","3.9","","6.0","","12.0","","0.0","","","","","","8.0","","","","","","",""
"-97.13","49.89","WINNIPEG THE FORKS","5023262","2019-04-08","2019","04","08","","5.9","","-3.6","","1.1","","16.9","","0.0","","","","","","0.8","","","","34","","34",""
"-97.13","49.89","WINNIPEG THE FORKS","5023262","2019-04-09","2019","04","09","","-1.7","","-6.9","","-4.3","","22.3","","0.0","","","","","","0.0","","","","","","",""
"-97.13","49.89","WINNIPEG THE FORKS","5023262","2019-04-10","2019","04","10","","6.3","","-4.3","","1.0","","17.0","","0.0","","","","","","0.0","","","","","","",""
"-97.13","49.89","WINNIPEG THE FORKS","5023262","2019-04-11","2019","04","11","","5.9","","-3.3","","1.3","","16.7","","0.0","","","","","","0.0","","","","4","","42",""
"-97.13","49.89","WINNIPEG THE FORKS","5023262","2019-04-12","2019","04","12","","3.4","","-2.2","","0.6","","17.4","","0.0","","","","","","0.5","","","","35","","42",""
"-97.13","49.89","WINNIPEG THE FORKS","5023262","2019-04-13","2019","04","13","","10.6","","-2.2","","4.2","","13.8","","0.0","","","","","","0.0","","","","","","",""
"-97.13","49.89","WINNIPEG THE FORKS","5023262","2019-04-14","2019","04","14","","9.7","","-1.2","","4.3","","13.7","","0.0","","","","","","0.0","","","","","","",""
"-97.13","49.89","WINNIPEG THE FORKS","5023262","2019-04-15","2019","04","15","","10.0","","0.4","","5.2","","12.8","","0.0","","","","","","8.6","","","","19","","34",""
"-97.13","49.89","WINNIPEG THE FORKS","5023262","2019-04-16","2019","04","16","","15.6","","1.9","","8.8","","9.2","","0.0","","","","","","0.0","","","","","","",""
"-97.13","49.89","WINNIPEG THE FORKS","5023262","2019-04-17","2019","04","17","","14.6","","3.2","","8.9","","9.1","","0.0","","","","","","0.0","","","","","","",""
"-97.13","49.89","WINNIPEG THE FORKS","5023262","2019-04-18","2019","04","18","","16.0","","1.3","","8.6","","9.4","","0.0","","","","","","0.0","","","","","","",""
"-97.13","49.89","WINNIPEG THE FORKS","5023262","2019-04-19","2019","04","19","","18.4","","3.6","","11.0","","7.0","","0.0","","","","","","0.0","","","","20","","36",""
"-97.13","49.89","WINNIPEG THE FORKS","5023262","2019-04-20","2019","04","20","","18.0","","9.6","","13.8","","4.2","","0.0","","","","","","0.1","","","","","","",""
"-97.13","49.89","WINNIPEG THE FORKS","5023262","2019-04-21","2019","04","21","","19.6","","4.4","","12.0","","6.0","","0.0","","","","","","0.0","","","","","","",""
